% format yyyy, mm, dd, h, location, humidity_percentage
humidity_percentage_at_9km(2019,11,1,11,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,11,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,11,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,11,"Forni",95).
humidity_percentage_at_9km(2019,11,1,11,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,11,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,11,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,11,"Spilinbergo",95).
humidity_percentage_at_9km(2019,11,1,11,"Udine",2).
humidity_percentage_at_9km(2019,11,1,11,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,11,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,11,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,11,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,11,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,11,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,11,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,11,"Grado",2).
humidity_percentage_at_9km(2019,11,1,11,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,12,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,12,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,12,"Pontebba",95).
humidity_percentage_at_9km(2019,11,1,12,"Tarvisio",95).
humidity_percentage_at_9km(2019,11,1,12,"Forni",2).
humidity_percentage_at_9km(2019,11,1,12,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,12,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,12,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,12,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,12,"Udine",2).
humidity_percentage_at_9km(2019,11,1,12,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,12,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,12,"Codroipo",95).
humidity_percentage_at_9km(2019,11,1,12,"Rivignano",95).
humidity_percentage_at_9km(2019,11,1,12,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,12,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,12,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,12,"Grado",2).
humidity_percentage_at_9km(2019,11,1,12,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,13,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,13,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,13,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,13,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,13,"Forni",2).
humidity_percentage_at_9km(2019,11,1,13,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,13,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,13,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,13,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,13,"Udine",2).
humidity_percentage_at_9km(2019,11,1,13,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,13,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,13,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,13,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,13,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,13,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,13,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,13,"Grado",2).
humidity_percentage_at_9km(2019,11,1,13,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,14,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,14,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,14,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,14,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,14,"Forni",2).
humidity_percentage_at_9km(2019,11,1,14,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,14,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,14,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,14,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,14,"Udine",2).
humidity_percentage_at_9km(2019,11,1,14,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,14,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,14,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,14,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,14,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,14,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,14,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,14,"Grado",2).
humidity_percentage_at_9km(2019,11,1,14,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,15,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,15,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,15,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,15,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,15,"Forni",2).
humidity_percentage_at_9km(2019,11,1,15,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,15,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,15,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,15,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,15,"Udine",2).
humidity_percentage_at_9km(2019,11,1,15,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,15,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,15,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,15,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,15,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,15,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,15,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,15,"Grado",2).
humidity_percentage_at_9km(2019,11,1,15,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,16,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,16,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,16,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,16,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,16,"Forni",2).
humidity_percentage_at_9km(2019,11,1,16,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,16,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,16,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,16,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,16,"Udine",2).
humidity_percentage_at_9km(2019,11,1,16,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,16,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,16,"Codroipo",2).
