Frame 63, cell 64 moved from (x: 316.27435911658034, y:247.13932743812956 ) to (x: 400.59898445629966, y:220.07256090913842 )
Frame 64, cell 64 moved from (x: 400.59898445629966, y:220.07256090913842 ) to (x: 544.6992875539025, y:130.81978509823983 )
Frame 64, cell 95 moved from (x: 21.90781416643427, y:189.273164701821 ) to (x: 128.26927864816636, y:182.22384284835238 )
Frame 64, cell 97 moved from (x: 20.93612921210061, y:355.3584147731792 ) to (x: 51.796565203330175, y:307.04628736435154 )
Frame 64, cell 100 moved from (x: 25.541964533612262, y:558.1171868770258 ) to (x: 110.9039887615197, y:480.6115654425054 )
Frame 65, cell 64 moved from (x: 544.6992875539025, y:130.81978509823983 ) to (x: 628.4672607666723, y:105.73425349044918 )
Frame 65, cell 101 moved from (x: 376.1946318570908, y:251.06776333622835 ) to (x: 518.4480327440059, y:123.6795188520713 )
Frame 65, cell 95 moved from (x: 128.26927864816636, y:182.22384284835238 ) to (x: 201.09757084144115, y:192.75437622919873 )
Frame 65, cell 97 moved from (x: 51.796565203330175, y:307.04628736435154 ) to (x: 32.427910496924504, y:185.58652235927403 )
Frame 65, cell 104 moved from (x: 569.7390231863363, y:444.78408299534317 ) to (x: 623.3710183021444, y:321.1068713944472 )
Frame 65, cell 100 moved from (x: 110.9039887615197, y:480.6115654425054 ) to (x: 235.50610334480322, y:400.34086878122315 )
Frame 65, cell 105 moved from (x: 399.0751680773916, y:496.57139563796665 ) to (x: 550.9515457133308, y:433.758096415914 )
Frame 66, cell 107 moved from (x: 396.40332820105897, y:230.57708493971552 ) to (x: 526.6796218374374, y:123.80732176819389 )
Frame 66, cell 108 moved from (x: 94.40739299062916, y:371.3856580263585 ) to (x: 184.75437989609705, y:224.9998941002682 )
Frame 66, cell 100 moved from (x: 235.50610334480322, y:400.34086878122315 ) to (x: 395.0074301012593, y:320.112576671788 )
Frame 68, cell 114 moved from (x: 153.66540036221446, y:183.77097465716196 ) to (x: 195.2416767326672, y:131.67870339903843 )
Frame 68, cell 115 moved from (x: 458.6618420326701, y:277.84863842668443 ) to (x: 497.4417729659311, y:353.2411070294949 )
Frame 68, cell 116 moved from (x: 147.34978695919565, y:379.0572423837036 ) to (x: 213.85565162025622, y:362.0813279413652 )
Frame 68, cell 117 moved from (x: 527.3739023046936, y:459.9715106032874 ) to (x: 556.6095936707338, y:445.2309415764416 )
Frame 69, cell 114 moved from (x: 195.2416767326672, y:131.67870339903843 ) to (x: 264.01844204663155, y:104.18603280708868 )
Frame 69, cell 123 moved from (x: 611.1725296164888, y:304.5060772035768 ) to (x: 639.4249827554363, y:371.59432101845306 )
Frame 69, cell 124 moved from (x: 331.00720050957403, y:405.2495356041862 ) to (x: 389.67999214718543, y:290.47406444878783 )
Frame 69, cell 116 moved from (x: 213.85565162025622, y:362.0813279413652 ) to (x: 236.8361686049023, y:340.0539767983145 )
Frame 69, cell 117 moved from (x: 556.6095936707338, y:445.2309415764416 ) to (x: 614.0207654342553, y:463.7062786674692 )
Frame 70, cell 114 moved from (x: 264.01844204663155, y:104.18603280708868 ) to (x: 369.6427697524952, y:97.16945512976427 )
Frame 70, cell 123 moved from (x: 639.4249827554363, y:371.59432101845306 ) to (x: 617.4443584642388, y:380.4874949063059 )
Frame 70, cell 117 moved from (x: 614.0207654342553, y:463.7062786674692 ) to (x: 597.6730871401492, y:526.3291945425162 )
Frame 71, cell 114 moved from (x: 369.6427697524952, y:97.16945512976427 ) to (x: 417.40737348114794, y:106.69182928666562 )
Frame 71, cell 126 moved from (x: 457.0864329864274, y:280.30372614673394 ) to (x: 448.29606232357224, y:249.5467698579383 )
Frame 71, cell 123 moved from (x: 617.4443584642388, y:380.4874949063059 ) to (x: 650.2178270144917, y:349.597098484125 )
Frame 71, cell 128 moved from (x: 490.8958779416719, y:406.41818991619175 ) to (x: 521.777568218766, y:393.885807032653 )
Frame 71, cell 117 moved from (x: 597.6730871401492, y:526.3291945425162 ) to (x: 591.5100565768313, y:513.8075827350452 )
Frame 72, cell 114 moved from (x: 417.40737348114794, y:106.69182928666562 ) to (x: 523.2999101643243, y:155.32355404114787 )
Frame 72, cell 128 moved from (x: 521.777568218766, y:393.885807032653 ) to (x: 580.9325230188225, y:362.10355244584326 )
Frame 72, cell 117 moved from (x: 591.5100565768313, y:513.8075827350452 ) to (x: 615.3672822886249, y:501.39448175403885 )
Frame 73, cell 128 moved from (x: 580.9325230188225, y:362.10355244584326 ) to (x: 613.7869915982501, y:355.22773070560754 )
Frame 73, cell 117 moved from (x: 615.3672822886249, y:501.39448175403885 ) to (x: 636.284463179078, y:486.5874123552949 )
Frame 73, cell 131 moved from (x: 411.1477077230351, y:522.5764126771096 ) to (x: 472.2225873911396, y:505.56552548844553 )
Frame 74, cell 133 moved from (x: 488.95476250409035, y:198.7172460963587 ) to (x: 488.56447920590404, y:209.33463956314696 )
Frame 74, cell 134 moved from (x: 10.167250867996652, y:153.0546850815058 ) to (x: 21.725804350630384, y:121.59022018509884 )
Frame 74, cell 128 moved from (x: 613.7869915982501, y:355.22773070560754 ) to (x: 647.2663060770918, y:333.4613885378991 )
Frame 74, cell 117 moved from (x: 636.284463179078, y:486.5874123552949 ) to (x: 645.8468663593369, y:459.9245266029773 )
Frame 74, cell 131 moved from (x: 472.2225873911396, y:505.56552548844553 ) to (x: 532.9591808176376, y:456.91754840495054 )
Frame 75, cell 134 moved from (x: 21.725804350630384, y:121.59022018509884 ) to (x: 129.3457761395393, y:68.52800335485772 )
Frame 75, cell 133 moved from (x: 488.56447920590404, y:209.33463956314696 ) to (x: 476.34677349458855, y:258.045649141631 )
Frame 76, cell 133 moved from (x: 476.34677349458855, y:258.045649141631 ) to (x: 547.798710071635, y:268.18546671764733 )
Frame 77, cell 133 moved from (x: 547.798710071635, y:268.18546671764733 ) to (x: 631.241618745996, y:258.0307613159654 )
